"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14161","Verify address details in checkout page","chromium","Mon Apr 13 03:10:16 UTC 2026","passed","Mon Apr 13 03:10:30 UTC 2026","Checkout","features/checkout/checkout.feature.spec.js","",""
"","2686","Navigate to test cases page successfully","chromium","Mon Apr 13 03:10:56 UTC 2026","passed","Mon Apr 13 03:10:59 UTC 2026","Test Cases Page","features/test_cases/test_cases.feature.spec.js","",""
"","7115","View & Cart Brand Products","chromium","Mon Apr 13 03:10:09 UTC 2026","passed","Mon Apr 13 03:10:16 UTC 2026","Brand Products","features/brand/brand.feature.spec.js","",""
"","6581","Add Products in Cart","chromium","Mon Apr 13 03:10:46 UTC 2026","passed","Mon Apr 13 03:10:53 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","8560","Add to cart from Recommended items","chromium","Mon Apr 13 03:10:33 UTC 2026","passed","Mon Apr 13 03:10:42 UTC 2026","Home","features/home/home.feature.spec.js","",""
"","4628","Verify all products and product detail page","chromium","Mon Apr 13 03:10:45 UTC 2026","passed","Mon Apr 13 03:10:49 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","4181","Register user","chromium","Mon Apr 13 03:10:56 UTC 2026","passed","Mon Apr 13 03:11:00 UTC 2026","Register","features/register/register.feature.spec.js","",""
"","3340","Submit contact us form successfully","chromium","Mon Apr 13 03:10:30 UTC 2026","passed","Mon Apr 13 03:10:33 UTC 2026","Contact Us","features/contact_us/contact_us.feature.spec.js","",""
"","3830","Verify Subscription in Cart page","chromium","Mon Apr 13 03:10:33 UTC 2026","passed","Mon Apr 13 03:10:37 UTC 2026","Home","features/home/home.feature.spec.js","",""
"","5209","View Category Products","chromium","Mon Apr 13 03:10:09 UTC 2026","passed","Mon Apr 13 03:10:14 UTC 2026","Category","features/category/category.feature.spec.js","",""
"","4080","Search Product","chromium","Mon Apr 13 03:10:49 UTC 2026","passed","Mon Apr 13 03:10:53 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","7155","Logout User","chromium","Mon Apr 13 03:10:42 UTC 2026","passed","Mon Apr 13 03:10:49 UTC 2026","Login","features/login/login.feature.spec.js","",""
"","7418","Register user with existing email","chromium","Mon Apr 13 03:10:53 UTC 2026","passed","Mon Apr 13 03:11:01 UTC 2026","Register","features/register/register.feature.spec.js","",""
"","6549","Remove Products From Cart","chromium","Mon Apr 13 03:10:49 UTC 2026","passed","Mon Apr 13 03:10:56 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","3440","Verify Product quantity in Cart","chromium","Mon Apr 13 03:10:46 UTC 2026","passed","Mon Apr 13 03:10:49 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","1993","Verify Subscription in home page","chromium","Mon Apr 13 03:10:31 UTC 2026","passed","Mon Apr 13 03:10:33 UTC 2026","Home","features/home/home.feature.spec.js","",""
"","2018","Verify Scroll Up without Arrow button and Scroll Down functionality","chromium","Mon Apr 13 03:10:37 UTC 2026","passed","Mon Apr 13 03:10:39 UTC 2026","Home","features/home/home.feature.spec.js","",""
"","7837","Login User with incorrect email and password","chromium","Mon Apr 13 03:10:38 UTC 2026","passed","Mon Apr 13 03:10:46 UTC 2026","Login","features/login/login.feature.spec.js","",""
"","5409","Login User with correct email and password","chromium","Mon Apr 13 03:10:39 UTC 2026","passed","Mon Apr 13 03:10:44 UTC 2026","Login","features/login/login.feature.spec.js","",""
"","20813","Place Order: Login before Checkout","chromium","Mon Apr 13 03:10:09 UTC 2026","passed","Mon Apr 13 03:10:30 UTC 2026","Checkout","features/checkout/checkout.feature.spec.js","",""
"","3737","Verify Scroll Up using Arrow button and Scroll Down functionality","chromium","Mon Apr 13 03:10:34 UTC 2026","passed","Mon Apr 13 03:10:38 UTC 2026","Home","features/home/home.feature.spec.js","",""
"","3332","Add review on product","chromium","Mon Apr 13 03:10:53 UTC 2026","passed","Mon Apr 13 03:10:56 UTC 2026","Products","features/products/products.feature.spec.js","",""
"","17796","Place Order: Register before Checkout","chromium","Mon Apr 13 03:10:09 UTC 2026","passed","Mon Apr 13 03:10:27 UTC 2026","Checkout","features/checkout/checkout.feature.spec.js","",""
"","16689","Download Invoice after purchase order","chromium","Mon Apr 13 03:10:18 UTC 2026","passed","Mon Apr 13 03:10:34 UTC 2026","Checkout","features/checkout/checkout.feature.spec.js","",""
"","17817","Place Order: Register while Checkout","chromium","Mon Apr 13 03:10:28 UTC 2026","passed","Mon Apr 13 03:10:46 UTC 2026","Checkout","features/checkout/checkout.feature.spec.js","",""
"","16518","Search Products and Verify Cart After Login","chromium","Mon Apr 13 03:10:49 UTC 2026","passed","Mon Apr 13 03:11:06 UTC 2026","Products","features/products/products.feature.spec.js","",""
